identifiant;libelle_du_site;caracteristique_du_site;adresse;complement_d_adresse;lieu_dit;code_postal;localite;pays;latitude;longitude;latlon;precision_du_geocodage;numero_de_telephone;changeur_de_monnaie;distributeur_de_billets;distributeur_de_timbres;photocopie;distributeur_pret_a_poster;affranchissement_libre_service;bornes_de_rechargement_moneo;accessibilite_absence_de_ressaut_de_plus_de_2_cm_de_haut;accessibilite_automate_d_affranchissement_avec_prise_audio;accessibilite_boucle_magnetique_en_etat_de_fonctionnement;accessibilite_distributeur_de_billets_avec_prise_audio;accessibilite_entree_autonome_en_fauteuil_roulant_possible;accessibilite_pas_d_escalier_ou_bandes_de_vigilance_presentes;accessibilite_presence_d_un_panneau_prioritaire;accessibilite_borne_sonore_en_etat_de_fonctionnement;accessibilite_espace_de_circulation_interieur_suffisant_pour_pmr;accessibilite_presence_d_un_espace_confidentiel_accessible_pmr;accessibilite_presence_d_un_gab_externe_accessible_pmr;accessibilite_presence_d_un_guichet_surbaisse_ou_d_un_ecritoire;accessibilite_presence_d_une_bande_de_guidage_au_sol
04800A;EVREUX VAL ITON;Bureau de poste;PLACE JOHN FITZGERALD KENNEDY;;;27000.0;EVREUX;FRANCE;49.009695;1.160079;49.009695, 1.160079;Géocodé au milieu de la rue;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Oui
04258A;SAINT POMPONT AP;Agence postale;LE BOURG;;;24170.0;ST POMPONT;FRANCE;44.725992;1.14697;44.725992, 1.14697;Géocodé au centre de la commune;553319787.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04259A;SAINT PRIEST LES FOUGERES AP;Agence postale;LE BOURG;;;24450.0;ST PRIEST LES FOUGERES;FRANCE;45.542792;1.010218;45.542792, 1.010218;Géocodé au centre de la commune;553528793.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04260A;SAINT PRIVAT DES PRES AP;Agence postale;LE BOURG;;;24410.0;ST PRIVAT DES PRES;FRANCE;45.225496;0.214221;45.225496, 0.214221;Géocodé au centre de la commune;553912755.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04261A;SAINT RABIER AP;Relais poste commerçant;LE BOURG;SNC FAMILLOT;;24210.0;ST RABIER;FRANCE;45.168994;1.153038;45.168994, 1.153038;Géocodé au centre de la commune;553506540.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04264A;SAINT SAUD LACOUSSIERE AP;Agence postale;RUE GEORGES ROCAL;;;24470.0;ST SAUD LACOUSSIERE;FRANCE;45.542299;0.819401;45.542299, 0.819401;Géocodé au milieu de la rue;553561645.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04266A;SAINT VINCENT DE CONNEZAC BP;Bureau de poste;LOTISSEMENT DU BOURG;;;24190.0;ST VINCENT DE CONNEZAC;FRANCE;45.163695;0.396922;45.163695, 0.396922;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
04278A;SORGES BP;Bureau de poste;LE BOURG;;;24420.0;SORGES;FRANCE;45.306838;0.872806;45.306838, 0.872806;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04287A;VANXAINS AP;Agence postale;LIEU DIT LE BOURG;;;24600.0;VANXAINS;FRANCE;45.216091;0.287076;45.216091, 0.287076;Géocodé au centre de la commune;553902711.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04293A;VILLARS AP;Agence postale;LE BOURG;;;24530.0;VILLARS;FRANCE;45.420291;0.751873;45.420291, 0.751873;Géocodé au centre de la commune;553548200.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04295A;VILLEFRANCHE DU PERIGORD BP;Bureau de poste;PLACE DU 19 MARS 1962;;;24550.0;VILLEFRANCHE DU PERIGORD;FRANCE;44.629224;1.08055;44.629224, 1.08055;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
04303A;PERIGUEUX LE GOUR DE L ARCHE BP;Bureau de poste;2 RUE RAYMOND RAUDIER;;;24000.0;PERIGUEUX;FRANCE;45.196694;0.678245;45.196694, 0.678245;Géocodé au milieu d un îlot;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04307A;BOULAZAC;Bureau de poste;PLACE NELSON MANDELA;;;24750.0;BOULAZAC;FRANCE;45.181398;0.761702;45.181398, 0.761702;Géocodé au centre de la commune;3631.0;Non;Oui;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non
04309A;BESANCON CHATEAUFARINE BP;Bureau de poste;GALERIE MARCHANDE CHATEAUFARINE;;;25000.0;BESANCON;FRANCE;47.214794;5.947139;47.214794, 5.947139;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
04334A;VELLEVANS AP;Agence postale;40 GRANDE RUE;;;25430.0;VELLEVANS;FRANCE;47.310799;6.49468;47.310799, 6.49468;Géocodé au milieu de la rue;381863097.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04342A;CENDREY AP;Agence postale;GRANDE RUE;;;25640.0;CENDREY;FRANCE;47.405592;6.243338;47.405592, 6.243338;Géocodé au milieu de la rue;381507480.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04355A;DAMPRICHARD BP;Bureau de poste;4 RUE DU GENERAL DE GAULLE;;;25450.0;DAMPRICHARD;FRANCE;47.247493;6.879161;47.247493, 6.879161;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
04384A;INDEVILLERS AP;Agence postale;4 RUE DE L EGLISE;MAIRIE;;25470.0;INDEVILLERS;FRANCE;47.313299;6.956304;47.313299, 6.956304;Géocodé au milieu de la rue;381444763.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04386A;JOUGNE BP;Bureau de poste;PLACE DU MONT D OR;;;25370.0;JOUGNE;FRANCE;46.759811;6.389456;46.759811, 6.389456;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
04388A;VILLERS LE LAC BP;Bureau de poste;3 RUE PASTEUR;;;25130.0;VILLERS LE LAC;FRANCE;47.061398;6.674288;47.061398, 6.674288;Géocodé au centre de la commune;3631.0;Non;Oui;Non;Non;Non;Non;Oui;Oui;Non;Non;Oui;Oui;Non;Oui;Non;Non;Non;Oui;Oui;Non
04391A;LANTENNE VERTIERE AP;Agence postale;LE BOURG;;;25170.0;LANTENNE VERTIERE;FRANCE;47.233592;5.779732;47.233592, 5.779732;Géocodé au centre de la commune;381582331.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04402A;MESLIERES AP;Relais poste commerçant;41 GRANDE RUE;EPICERIE TABAC CHEZ CARMEN;;25310.0;MESLIERES;FRANCE;47.415595;6.889519;47.415595, 6.889519;Géocodé au milieu de la rue;381309146.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04404A;MISEREY SALINES BP;Bureau de poste;4 A RUE DE LA COMMUNAUTE;;;25480.0;MISEREY SALINES;FRANCE;47.286591;5.972078;47.286591, 5.972078;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non
04416A;NAISEY LES GRANGES AP;Agence postale;2 RUE VIGNE;MAIRIE;;25360.0;NAISEY LES GRANGES;FRANCE;47.211799;6.233818;47.211799, 6.233818;Géocodé au milieu de la rue;381600916.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04425A;POUILLEY LES VIGNES BP;Bureau de poste;RUE DE L EGLISE;;;25115.0;POUILLEY LES VIGNES;FRANCE;47.257336;5.93525;47.257336, 5.93525;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
04427A;RECOLOGNE BP;Bureau de poste;73 GRANDE RUE;;;25170.0;RECOLOGNE;FRANCE;47.272462;5.826513;47.272462, 5.826513;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non
04430A;ROCHE LEZ BEAUPRE BP;Bureau de poste;35 ROUTE NATIONALE;;;25220.0;ROCHE LEZ BEAUPRE;FRANCE;47.275625;6.113655;47.275625, 6.113655;Géocodé au numéro;3631.0;Non;Oui;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non
04434A;LE RUSSEY BP;Bureau de poste;17 AV DU MAL DE LATTRE DE TASSIGNY;;;25210.0;LE RUSSEY;FRANCE;47.161967;6.727886;47.161967, 6.727886;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Oui;Non
04440A;SANCEY LE GRAND BP;Bureau de poste;2 ROUTE DE BESANCON;;;25430.0;SANCEY LE GRAND;FRANCE;47.296724;6.58315;47.296724, 6.58315;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04442A;SELONCOURT BP;Bureau de poste;8 RUE D AUDINCOURT;;;25230.0;SELONCOURT;FRANCE;47.462897;6.858037;47.462897, 6.858037;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non
04449A;UZELLE AP;Relais poste commerçant;10 GRANDE RUE;BOULANGERIE EPICERIE TABAC CHATRAS;;25340.0;UZELLE;FRANCE;47.466394;6.437664;47.466394, 6.437664;Géocodé au centre de la commune;381865807.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04454A;VERCEL VILLEDIEU LE CAMP BP;Bureau de poste;1 PLACE DES MARRONNIERS;;;25530.0;VERCEL VILLEDIEU LE CAMP;FRANCE;47.183228;6.398945;47.183228, 6.398945;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04458A;VUILLAFANS BP;Bureau de poste;10 PLACE DU CHAMP DE MARS;;;25840.0;VUILLAFANS;FRANCE;47.0649;6.21618;47.0649, 6.21618;Géocodé au centre de la commune;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04471A;BETHONCOURT CHAMPS VALLON BP;Bureau de poste;PLACE CUVIER;;;25200.0;BETHONCOURT;FRANCE;47.534093;6.803827;47.534093, 6.803827;Géocodé au milieu d un îlot;3631.0;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
04479A;ALLAN BP;Bureau de poste;8 ROUTE DE MALATAVERNE;;;26780.0;ALLAN;FRANCE;44.49876;4.786174;44.49876, 4.786174;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04485A;VALENCE ST JACQUES BP;Bureau de poste;36 FAUBOURG SAINT JACQUES;;;26000.0;VALENCE;FRANCE;44.932198;4.897489;44.932198, 4.897489;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Non;Oui;Oui;Non;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non
04490A;BEAUFORT SUR GERVANNE AP;Agence postale;ROUTE DE SUZE;LE VILLAGE;;26400.0;BEAUFORT SUR GERVANNE;FRANCE;44.777297;5.142028;44.777297, 5.142028;Géocodé au centre de la commune;475764122.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04511A;VALENCE FAVENTINES BP;Bureau de poste;155 RUE PONT DU GAT;;;26000.0;VALENCE;FRANCE;44.924699;4.903048;44.924699, 4.903048;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non
04523A;CLERIEUX BP BP;Bureau de poste;RUE DE LA VALLEE;LE VILLAGE;;26260.0;CLERIEUX;FRANCE;45.076064;4.958562;45.076064, 4.958562;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
04528A;CREPOL AP;Relais poste commerçant;105 ROUTE DU CHALON;MAGASIN UTILE;;26350.0;CREPOL;FRANCE;45.174916;5.07125;45.174916, 5.07125;Géocodé au numéro;475456529.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04533A;DONZERE BP;Bureau de poste;1 RUE MARIE BOMPARD;;;26290.0;DONZERE;FRANCE;44.443191;4.711356;44.443191, 4.711356;Géocodé au milieu de la rue;3631.0;Non;Oui;Non;Oui;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
04535A;EROME BP;Bureau de poste;ROUTE NATIONALE 7;RESIDENCE ESPACE AZUR;;26600.0;EROME;FRANCE;45.119893;4.821747;45.119893, 4.821747;Géocodé au centre de la commune;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Oui;Non;Non;Oui;Non;Non;Non;Non
04537A;ETOILE SUR RHONE BP;Bureau de poste;PLACE DE LA REPUBLIQUE;RESIDENCE MARIANNE;;26800.0;ETOILE SUR RHONE;FRANCE;44.837653;4.892716;44.837653, 4.892716;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
04543A;GRANE BP;Bureau de poste;LE BOURG;;;26400.0;GRANE;FRANCE;44.7318;4.920848;44.7318, 4.920848;Géocodé au milieu de la rue;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04544A;LES GRANGES GONTARDES AP;Agence postale;LE BOURG;;;26290.0;LES GRANGES GONTARDES;FRANCE;44.416593;4.762504;44.416593, 4.762504;Géocodé au centre de la commune;475985770.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04547A;HOSTUN EYMEUX BP;Bureau de poste;AVENUE DES MARRONNIERS;;;26730.0;HOSTUN;FRANCE;45.0381;5.200114;45.0381, 5.200114;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
02071A;MARSEILLE LE MERLAN;Bureau de poste;53 AVENUE DU MERLAN;;;13014.0;MARSEILLE;FRANCE;43.336396;5.407023;43.336396, 5.407023;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui
02080A;SALON MASSENET;Bureau de poste;RUE MASSENET;;;13300.0;SALON DE PROVENCE;FRANCE;43.639896;5.095121;43.639896, 5.095121;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui
02082A;MARSEILLE CAPELETTE BP;Bureau de poste;69 AVENUE DE LA CAPELETTE;;;13010.0;MARSEILLE;FRANCE;43.282798;5.402373;43.282798, 5.402373;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui
02084A;MIRAMAS LA ROUSSE AP;Agence postale;PLACE DES BALADINS;;;13140.0;MIRAMAS;FRANCE;43.593797;5.009114;43.593797, 5.009114;Géocodé au milieu d un îlot;490500055.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02092A;ALLAUCH LA POUNCHE BP;Bureau de poste;17 BOULEVARD BARTHELEMY;;;13190.0;ALLAUCH;FRANCE;43.332496;5.464075;43.332496, 5.464075;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02095A;MARSEILLE PLACE CASTELLANE;Bureau de poste;26 PLACE CASTELLANE;IMMEUBLE ELDORADO;;13006.0;MARSEILLE;FRANCE;43.285399;5.383617;43.285399, 5.383617;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui;Oui;Non
02104A;MARSEILLE SAINT GINIEZ;Bureau de poste;327 AVENUE DU PRADO;LE MONTCALM;;13008.0;MARSEILLE;FRANCE;43.2709;5.389444;43.2709, 5.389444;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui
02113A;SAINT PAUL LEZ DURANCE CADARACHE BP;Bureau de poste;6007 CADARACHE;;;13115.0;ST PAUL LES DURANCE;FRANCE;43.688789;5.756562;43.688789, 5.756562;Géocodé au numéro;3631.0;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02118A;MARSEILLE FRAIS VALLON BP;Bureau de poste;25 AVENUE DE FRAIS VALLON;LE NAUTILE;;13013.0;MARSEILLE;FRANCE;43.325096;5.423528;43.325096, 5.423528;Géocodé au milieu d un îlot;3631.0;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non
02119A;MARSEILLE LA VISTE BP;Bureau de poste;125 AVENUE DE LA VISTE;;;13015.0;MARSEILLE;FRANCE;43.359593;5.357561;43.359593, 5.357561;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non
02120A;MARSEILLE GRAND LITTORAL BP;Bureau de poste;11 AVENUE DE SAINT ANTOINE;CENTRE COMMERCIAL GRAND LITTORAL;;13016.0;MARSEILLE;FRANCE;43.363899;5.349271;43.363899, 5.349271;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Oui;Non;Non
14476A;GOURNAY EN BRAY;Bureau de poste;PLACE D ARMES;;;76220.0;GOURNAY EN BRAY;FRANCE;49.483711;1.722522;49.483711, 1.722522;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14481A;LE GRAND QUEVILLY HOTEL DE VILLE;Bureau de poste;16 AVENUE LEON BLUM;;;76120.0;LE GRAND QUEVILLY;FRANCE;49.405894;1.051319;49.405894, 1.051319;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui
14482A;GRUCHET LE VALASSE BP;Bureau de poste;63 RUE DU MARECHAL FOCH;;;76210.0;GRUCHET LE VALASSE;FRANCE;49.557;0.482755;49.557, 0.482755;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14486A;HERICOURT EN CAUX AP;Relais poste commerçant;21 PLACE DE LA MAIRIE;TABAC PRESSE;;76560.0;HERICOURT EN CAUX;FRANCE;49.697098;0.698948;49.697098, 0.698948;Géocodé au milieu de la rue;235965075.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14487A;LE HOULME BP;Bureau de poste;1 PLACE DES CANADIENS;;;76770.0;LE HOULME;FRANCE;49.507194;1.03949;49.507194, 1.03949;Géocodé au milieu de la rue;3631.0;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
14492A;LILLEBONNE;Bureau de poste;7 PLACE FELIX FAURE;;;76170.0;LILLEBONNE;FRANCE;49.517981;0.536181;49.517981, 0.536181;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14495A;LA LONDE BP;Bureau de poste;184 RUE ALFRED BERRIER;;;76500.0;LA LONDE;FRANCE;49.306393;0.954543;49.306393, 0.954543;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
14498A;LUNERAY;Bureau de poste;RUE DU GENERAL DE GAULLE;;;76810.0;LUNERAY;FRANCE;49.827796;0.911544;49.827796, 0.911544;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
14502A;MAROMME;Bureau de poste;PLACE JEAN JAURES;;;76150.0;MAROMME;FRANCE;49.481698;1.039419;49.481698, 1.039419;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
14506A;LE MESNIL ESNARD;Bureau de poste;115 ROUTE DE PARIS;;;76240.0;LE MESNIL ESNARD;FRANCE;49.413395;1.137385;49.413395, 1.137385;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
14507A;MONTIVILLIERS;Bureau de poste;4 RUE RENE COTY;;;76290.0;MONTIVILLIERS;FRANCE;49.5437;0.191305;49.5437, 0.191305;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui
14508A;MONT SAINT AIGNAN BP;Bureau de poste;PLACE DES COQUETS;;;76130.0;MONT ST AIGNAN;FRANCE;49.462696;1.079927;49.462696, 1.079927;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
14516A;NEUVILLE LES DIEPPE BP;Bureau de poste;PLACE HENRI DUNANT;IMMEUBLE JACQUES COEUR;;76370.0;DIEPPE;FRANCE;49.930399;1.101151;49.930399, 1.101151;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
14518A;NOINTOT BP;Bureau de poste;LE BOURG;;;76210.0;NOINTOT;FRANCE;49.598298;0.477993;49.598298, 0.477993;Géocodé au centre de la commune;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14520A;NORMANVILLE AP;Agence postale;3 PLACE DE L EGLISE;;;76640.0;NORMANVILLE;FRANCE;49.6953;0.59396;49.6953, 0.59396;Géocodé au milieu de la rue;235276050.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14521B;MONTPELLIER MALBOSC DOMAINE D O;Bureau de poste;ALLEE AGLAE ADANSON;CS 37389;;34000.0;MONTPELLIER;FRANCE;43.6319491;3.8299403;43.6319491, 3.8299403;Géocodé au milieu d un îlot;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14527A;OURVILLE EN CAUX AP;Relais poste commerçant;4 RUE DE LA POSTE;ALIMENTATION TABAC PRESSE;;76450.0;OURVILLE EN CAUX;FRANCE;49.729694;0.603383;49.729694, 0.603383;Géocodé au milieu de la rue;235289812.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14536A;REALCAMP AP;Agence postale;5 GRANDE RUE;;;76340.0;REALCAMP;FRANCE;49.853096;1.621076;49.853096, 1.621076;Géocodé au milieu de la rue;235937550.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14541A;RY;Bureau de poste;78 PLACE GUSTAVE FLAUBERT;;;76116.0;RY;FRANCE;49.47231;1.344796;49.47231, 1.344796;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
14543A;SAINTE ADRESSE BP;Bureau de poste;1 ROUTE D OCTEVILLE;;;76310.0;STE ADRESSE;FRANCE;49.509296;0.084839;49.509296, 0.084839;Géocodé au numéro;3631.0;Non;Oui;Non;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
14544A;SAINT AUBIN LES ELBEUF BP;Bureau de poste;ILOT DU MARECHAL LECLERC;;;76410.0;ST AUBIN LES ELBEUF;FRANCE;49.297998;1.009286;49.297998, 1.009286;Géocodé au milieu d un îlot;3631.0;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non
14554A;SAINT NICOLAS D ALIERMONT;Bureau de poste;329 RUE EDOUARD CANNEVEL;;;76510.0;ST NICOLAS D ALIERMONT;FRANCE;49.87987;1.215758;49.87987, 1.215758;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14559A;SAINT REMY BOSCROCOURT AP;Relais poste commerçant;;GRAINETERIE ALIMENTATION ANIMALE;;76260.0;ST REMY BOSCROCOURT;FRANCE;50.009196;1.394447;50.009196, 1.394447;Géocodé au milieu de la rue;235861038.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
